episode,traffic_level,reward,avg_wait,max_lane_wait,emergency_time,throughput,epsilon
1,low,-8599.001738936668,377.0,108,434,722,0.05213536498561189
2,medium,2561.0561023167807,13.0,4,317,1306,0.05
3,medium,1619.7258592839075,18.8,28,278,1341,0.05
4,high,-7160.914401173784,5.337209302325581,128,151,1420,0.05
5,medium,3560.787582116894,4.6,8,335,1293,0.05
6,low,1940.671407638418,0,0,644,717,0.05
7,low,2003.9655363399684,3.0,2,584,714,0.05
8,low,1490.7072571909664,2.5,2,655,722,0.05
9,medium,2693.1626675097514,5.3,39,236,1268,0.05
10,low,1633.878137678616,0,1,615,655,0.05
11,medium,3395.6561506233575,0,1,246,1269,0.05
12,low,1287.883844841017,0,3,648,750,0.05
13,high,-11254.493305289545,7.76530612244898,224,125,1288,0.05
14,low,1620.6896971315632,2.0,1,555,710,0.05
15,low,1147.0663584608687,4.0,2,653,702,0.05
16,medium,3216.96802835604,2.75,4,310,1250,0.05
17,medium,3358.495450200796,1.8,6,260,1310,0.05
18,low,-12790.086920549182,45.666666666666664,216,442,723,0.05
19,low,882.4702392629088,15.25,20,530,714,0.05
20,high,1107.9792370545108,1.3404255319148937,44,70,1607,0.05
21,medium,1134.6055313918719,36.333333333333336,32,282,1278,0.05
22,low,1294.6748581323584,27.0,8,512,766,0.05
23,low,1149.887749004296,0,5,514,697,0.05
24,medium,1340.2692433260866,19.875,42,314,1238,0.05
25,low,748.6665714614862,27.5,15,552,702,0.05
26,low,417.32474558625495,12.5,15,535,680,0.05
27,high,416.6921208367154,1.7291666666666667,49,68,1586,0.05
28,medium,2662.042708637294,77.0,22,207,1302,0.05
29,low,656.7705253950169,0,31,510,722,0.05
30,low,100.13959578762139,0,31,558,714,0.05
31,high,-871.376696471491,2.011111111111111,54,60,1580,0.05
32,high,-2112.4093741950405,2.4285714285714284,63,77,1572,0.05
33,low,719.0884820745595,22.333333333333332,20,455,761,0.05
34,low,30.506454099224253,43.5,26,524,722,0.05
35,low,67.04641082191988,56.0,33,571,711,0.05
36,low,251.1827991689299,80.0,22,520,718,0.05
37,low,419.4213733215132,0,39,452,740,0.05
38,low,-641.1371485564295,135.5,77,499,710,0.05
39,medium,1317.0760527799014,20.90909090909091,67,223,1290,0.05
40,high,-845.3495681165406,2.126315789473684,63,114,1574,0.05
41,high,3285.693667982172,0.78125,20,72,1650,0.05
42,high,3357.6321612291035,1.1368421052631579,30,68,1620,0.05
43,low,-3929.16812031768,142.75,163,421,728,0.05
44,medium,348.56826469169226,20.625,90,231,1244,0.05
45,low,-3814.717428183827,76.33333333333333,205,520,703,0.05
46,medium,1457.7056045474947,16.82608695652174,105,152,1231,0.05
47,low,-2655.8445121615705,89.16666666666667,157,418,703,0.05
48,high,3530.798121287203,0.8125,23,60,1627,0.05
49,high,3700.9158661921997,0.7083333333333334,18,65,1650,0.05
50,low,-8099.007775673661,30.5,276,511,692,0.05
51,medium,865.204219221006,10.387755102040817,138,161,1212,0.05
52,low,-7947.550011338615,22.727272727272727,314,527,679,0.05
53,high,3954.3625059472256,0.7659574468085106,20,50,1638,0.05
54,low,-3407.75045869413,83.42857142857143,180,481,703,0.05
55,medium,751.2894048443675,15.423076923076923,112,239,1251,0.05
56,medium,1941.0434996964925,13.461538461538462,91,259,1283,0.05
57,low,-4826.847681400499,71.27272727272727,222,360,690,0.05
58,medium,-781.9605598046285,15.333333333333334,161,187,1224,0.05
59,medium,71.52157899133593,12.680851063829786,167,261,1177,0.05
60,medium,1427.1376379170385,12.488888888888889,148,162,1256,0.05
61,medium,1350.8639944545173,12.487179487179487,132,226,1246,0.05
62,high,4118.353091967045,0.6129032258064516,17,38,1640,0.05
63,low,-2972.911695372779,144.4,186,463,676,0.05
64,low,-1921.2609835114044,596.0,160,425,697,0.05
65,medium,2223.881858000461,14.666666666666666,115,143,1270,0.05
66,low,-1563.4870744405753,51.61538461538461,180,478,702,0.05
67,high,3647.3340590506755,0.8387096774193549,24,49,1631,0.05
68,low,-1431.5823947696867,90.6,118,569,682,0.05
69,high,3196.8252448805397,1.1157894736842104,31,96,1608,0.05
70,high,3269.67845888007,0.9795918367346939,28,83,1618,0.05
71,medium,130.79417290753725,14.14,181,239,1156,0.05
72,high,4139.2621443924,0.6421052631578947,22,61,1646,0.05
73,low,-1124.107228025565,48.0,152,484,685,0.05
74,low,-1100.6080718732571,38.15,208,401,719,0.05
75,high,4332.33744722541,0.6458333333333334,17,41,1644,0.05
76,low,-325.75146742240526,178.0,92,469,759,0.05
77,high,4254.735221186867,0.9183673469387755,24,52,1624,0.05
78,low,112.08811659087168,0,92,491,728,0.05
79,low,-352.9068533623525,0,87,491,681,0.05
80,low,-294.82104322105164,0,98,542,707,0.05
81,high,4437.964520339034,0.6304347826086957,16,58,1648,0.05
82,low,-682.0428937548703,460.0,124,570,686,0.05
83,low,-898.5833568756987,420.0,109,445,739,0.05
84,medium,1306.7370908879975,12.9,205,149,1151,0.05
85,medium,566.0016713907556,20.8125,94,281,1256,0.05
86,low,-533.3484412737217,180.5,95,549,719,0.05
87,high,3959.326525802385,0.9574468085106383,24,79,1637,0.05
88,medium,771.0886274386273,13.35,215,96,1164,0.05
89,medium,2200.0968442156804,13.736842105263158,136,183,1245,0.05
90,low,-334.43798236476147,453.0,117,479,694,0.05
91,low,26.176641838435238,158.66666666666666,125,415,725,0.05
92,high,4417.73382836527,0.8041237113402062,20,46,1637,0.05
93,medium,2212.6502405199326,10.634920634920634,174,135,1207,0.05
94,medium,2331.521266127457,10.390243902439025,111,186,1232,0.05
95,medium,1494.1112610725497,12.73913043478261,156,133,1192,0.05
96,low,498.5266629526593,311.0,83,514,659,0.05
97,medium,1683.5753440241058,10.541666666666666,132,182,1246,0.05
98,low,601.2597881389419,385.0,101,474,681,0.05
99,low,58.09458781479764,454.0,115,539,757,0.05
100,high,4311.461887587998,0.7708333333333334,22,52,1638,0.05
101,high,3572.233902571694,1.0729166666666667,29,44,1619,0.05
102,medium,1072.125080607384,15.153846153846153,202,191,1142,0.05
103,medium,2009.6738124675826,11.11111111111111,229,137,1149,0.05
104,low,284.76686916619275,190.5,100,456,702,0.05
105,medium,1165.812084744582,9.0,107,221,1264,0.05
106,low,-36.05368362495727,118.33333333333333,90,544,687,0.05
107,high,3612.0294857542785,0.8571428571428571,23,64,1628,0.05
108,medium,2049.1890202754707,13.36,170,117,1208,0.05
109,low,-479.7043160943228,0,134,448,709,0.05
110,medium,2800.5043769578306,12.18,157,123,1264,0.05
111,medium,1928.3686129643147,13.431372549019608,174,169,1208,0.05
112,low,461.62780902445286,366.0,93,405,730,0.05
113,low,-645.4693301051369,107.0,81,431,726,0.05
114,medium,2641.8037269336455,13.324324324324325,127,132,1238,0.05
115,medium,2562.2535189745745,23.263157894736842,113,197,1219,0.05
116,medium,2510.538205309721,21.333333333333332,150,183,1211,0.05
117,high,3993.6808089240285,0.851063829787234,24,61,1632,0.05
118,low,-1698.058256186896,0,114,544,695,0.05
119,low,371.7892476495459,203.5,104,434,721,0.05
120,low,514.0846229122101,352.0,90,540,713,0.05
121,high,4027.706717018522,0.967032967032967,26,49,1631,0.05
122,low,128.1238335530866,58.166666666666664,91,550,711,0.05
123,medium,2728.128015638515,12.212121212121213,106,231,1258,0.05
124,low,484.2250705934113,62.4,80,513,694,0.05
125,medium,2296.145832814043,14.40625,119,167,1238,0.05
126,high,4253.292279862613,0.9895833333333334,28,46,1623,0.05
127,medium,1258.140690693728,13.630434782608695,166,229,1224,0.05
128,low,497.8107421371416,0,76,537,706,0.05
129,low,516.3796899072817,0,84,528,689,0.05
130,high,4260.59312569185,1.0729166666666667,28,61,1633,0.05
131,low,-90.2907977267031,0,66,579,682,0.05
132,medium,1849.1196013390563,20.714285714285715,147,231,1231,0.05
133,high,3348.8481595621965,0.8064516129032258,22,47,1635,0.05
134,high,3691.247949161494,0.6736842105263158,23,51,1643,0.05
135,low,-21668.643216013068,1073.0,278,505,645,0.05
136,high,3530.8603485964627,1.0208333333333333,28,51,1625,0.05
137,medium,1565.4161084785733,15.083333333333334,93,254,1210,0.05
138,low,776.2150834942123,253.0,65,528,706,0.05
139,low,61.55875683735065,68.25,69,579,711,0.05
140,low,918.8847922611014,235.0,61,497,678,0.05
141,low,504.91444738386673,160.5,82,499,745,0.05
142,medium,2612.9612508059695,16.40625,136,143,1273,0.05
143,medium,1870.1324038410312,21.5,110,264,1237,0.05
144,medium,2209.7230756250683,14.476190476190476,158,156,1251,0.05
145,low,675.7975031699896,123.33333333333333,97,471,762,0.05
146,medium,2212.7681651452535,19.727272727272727,168,160,1180,0.05
147,medium,2118.9325736124347,18.545454545454547,157,127,1232,0.05
148,medium,2127.290691996398,18.347826086956523,110,155,1251,0.05
149,medium,2311.839806366508,17.64516129032258,139,232,1204,0.05
150,high,3528.8907615267462,0.967741935483871,25,51,1632,0.05
151,medium,2317.530446447551,22.823529411764707,98,304,1206,0.05
152,high,4015.4516342476604,0.7578947368421053,22,39,1630,0.05
153,high,3691.909927113306,0.8020833333333334,22,58,1643,0.05
154,low,733.0494251725084,140.0,72,528,734,0.05
155,medium,3084.3258506873335,12.96551724137931,100,246,1273,0.05
156,medium,2943.2228244689477,19.115384615384617,128,205,1265,0.05
157,medium,2342.1514134365725,19.29032258064516,155,198,1224,0.05
158,low,101.91164037093904,0,52,620,716,0.05
159,low,159.34729208582343,296.0,80,531,709,0.05
160,low,1522.2247467675713,24.333333333333332,22,573,720,0.05
161,medium,2772.957309253594,16.77777777777778,154,112,1267,0.05
162,low,595.2282164106226,245.0,62,497,691,0.05
163,high,3740.108764849371,0.7872340425531915,21,46,1629,0.05
164,medium,3007.197704091407,16.18421052631579,157,131,1230,0.05
165,low,503.6464698797386,121.66666666666667,93,555,685,0.05
166,high,3834.9340329994575,0.9560439560439561,28,64,1635,0.05
167,high,4026.9533905176863,0.9574468085106383,24,37,1621,0.05
168,medium,2251.1720280126046,13.885714285714286,125,309,1253,0.05
169,low,859.4172325011307,362.0,93,477,698,0.05
170,low,-2074.5341756860716,44.166666666666664,71,615,666,0.05
171,high,4243.55141497185,0.6956521739130435,18,55,1640,0.05
172,high,4451.917764847589,0.7789473684210526,20,61,1645,0.05
173,low,812.0781633976283,58.666666666666664,89,509,694,0.05
174,high,4022.6557402860994,0.6451612903225806,17,56,1644,0.05
175,high,4231.608894735841,1.0421052631578946,28,58,1643,0.05
176,high,4083.581016144909,1.108695652173913,29,40,1619,0.05
177,low,1185.197773389799,170.66666666666666,130,381,761,0.05
178,medium,3327.1890335608123,18.3,138,100,1291,0.05
179,low,-34.094584259200744,478.0,121,490,735,0.05
180,medium,2641.7420053785386,21.8,139,144,1250,0.05
181,low,-17.63372115209229,501.0,128,450,726,0.05
182,medium,2965.109577091352,18.666666666666668,114,176,1231,0.05
183,medium,3308.0121460441146,23.285714285714285,125,135,1293,0.05
184,high,3354.335766341406,0.7894736842105263,21,65,1641,0.05
185,medium,1761.186074869971,20.90909090909091,179,144,1211,0.05
186,low,1013.3280852935342,74.4,96,461,718,0.05
187,high,4356.2229393797,0.8723404255319149,22,59,1650,0.05
188,high,4443.541406736744,0.6595744680851063,19,62,1648,0.05
189,high,4290.167617166249,0.6021505376344086,16,60,1652,0.05
190,low,1079.9904559104127,0,109,372,748,0.05
191,low,1203.4472550810774,188.0,50,570,715,0.05
192,high,4526.95049145741,0.7422680412371134,20,51,1638,0.05
193,medium,3383.1094436673698,18.59259259259259,127,129,1254,0.05
194,medium,2728.0381688874086,14.289473684210526,139,219,1257,0.05
195,low,299.7116439692235,67.66666666666667,161,400,711,0.05
196,low,35.96621309625229,270.0,137,502,755,0.05
197,low,525.7579144086288,121.25,123,460,735,0.05
198,medium,2621.088413593323,15.6,118,197,1251,0.05
199,medium,2192.063019667001,18.655172413793103,138,200,1249,0.05
200,low,-153.1595967396328,337.0,179,452,706,0.05
201,medium,2243.0653961573066,16.864864864864863,159,183,1232,0.05
202,medium,3196.8915208859403,23.944444444444443,110,175,1269,0.05
203,medium,3023.717137300056,20.80952380952381,113,177,1267,0.05
204,high,4794.672733233777,0.7311827956989247,18,46,1642,0.05
205,high,4481.362154111856,0.6631578947368421,19,49,1637,0.05
206,low,305.3256664694428,477.0,122,519,726,0.05
207,high,4154.42353272158,0.8144329896907216,21,52,1656,0.05
208,low,-55.69663506430542,246.0,128,503,713,0.05
209,high,4298.765269389214,0.7319587628865979,20,34,1623,0.05
210,low,-6695.464456762843,98.5,202,502,733,0.05
211,low,-88.21547752900547,503.0,129,522,667,0.05
212,high,4570.845003780343,1.0326086956521738,25,51,1636,0.05
213,medium,2866.523316921283,24.0,104,176,1248,0.05
214,low,166.10686856460117,169.33333333333334,128,424,704,0.05
215,high,4572.118553793987,0.6875,20,30,1641,0.05
216,medium,2834.3974038565375,17.869565217391305,104,296,1226,0.05
217,high,4519.041988848778,0.8723404255319149,22,51,1630,0.05
218,high,4471.557317602941,0.6276595744680851,18,57,1649,0.05
219,low,1063.9657544374397,269.0,69,444,701,0.05
220,low,1190.3905845725342,283.0,72,430,718,0.05
221,medium,3207.290726835039,19.210526315789473,93,200,1277,0.05
222,high,4793.456619632362,0.3958333333333333,10,44,1659,0.05
223,low,679.6593090357597,119.5,125,443,755,0.05
224,medium,2378.448596731061,59.22222222222222,136,190,1253,0.05
225,medium,3074.605085008653,37.30769230769231,123,153,1272,0.05
226,low,556.1633853431133,184.33333333333334,142,429,698,0.05
227,medium,3151.9178551335053,18.176470588235293,81,239,1272,0.05
228,high,3586.891583035305,1.092783505154639,29,50,1631,0.05
229,high,4112.507325748845,0.8571428571428571,26,57,1640,0.05
230,low,689.3061179376515,376.0,96,424,708,0.05
231,low,-840.0353617047389,169.0,85,582,682,0.05
232,medium,3487.8745832678924,20.166666666666668,92,191,1304,0.05
233,high,4739.498135677086,0.5806451612903226,15,52,1650,0.05
234,high,4708.563910779959,0.5957446808510638,16,48,1646,0.05
235,high,4769.938518938285,0.5052631578947369,16,51,1651,0.05
236,low,1634.1397154748067,0,1,623,718,0.05
237,low,660.8037019354921,294.0,75,500,705,0.05
238,high,4718.855697812393,0.6597938144329897,18,37,1628,0.05
239,low,341.6231536250879,191.0,147,472,717,0.05
240,high,4595.271138450191,0.6888888888888889,18,52,1647,0.05
241,low,1276.099536421541,354.0,89,434,714,0.05
242,high,4423.797807478553,1.064516129032258,26,51,1626,0.05
243,medium,2915.065918935213,20.523809523809526,110,279,1229,0.05
244,low,1089.978766896186,104.0,80,447,711,0.05
245,high,4593.582624922962,0.8645833333333334,23,40,1623,0.05
246,medium,3043.6511691934957,89.33333333333333,137,167,1241,0.05
247,low,1832.9532590632027,0,0,626,693,0.05
248,low,761.058426276291,189.0,95,532,688,0.05
249,high,4705.336299231147,0.8144329896907216,21,33,1634,0.05
250,high,4833.316802946321,0.7865168539325843,19,44,1647,0.05
251,low,1349.307522504285,80.0,61,565,704,0.05
252,low,1222.3424346163908,51.75,53,596,679,0.05
253,medium,3320.953726751058,21.15,109,142,1269,0.05
254,low,-956.0541313420626,0,176,452,695,0.05
255,high,4665.936076237235,0.8631578947368421,22,58,1643,0.05
256,low,763.7769364023038,203.0,106,544,641,0.05
257,low,973.058105730933,0,108,476,731,0.05
258,low,1497.3517241326995,0,1,659,752,0.05
259,medium,3331.4752174031146,17.0,104,151,1238,0.05
260,low,552.5612695218277,396.0,101,485,685,0.05
261,high,4714.836984665829,0.8645833333333334,22,49,1644,0.05
262,medium,3273.3396465941523,47.125,96,258,1259,0.05
263,low,542.4301815237189,209.5,108,501,693,0.05
264,high,4696.434190063107,0.8617021276595744,21,55,1649,0.05
265,medium,2996.510157516705,29.1875,119,193,1269,0.05
266,high,4378.813576107057,0.8279569892473119,21,53,1637,0.05
267,medium,3188.5831098283047,20.238095238095237,108,198,1255,0.05
268,medium,3250.3143882717595,17.47826086956522,103,221,1264,0.05
269,medium,3165.242032356089,24.263157894736842,116,200,1244,0.05
270,medium,3249.654115641708,27.666666666666668,107,210,1279,0.05
271,low,660.4842983945589,100.5,102,539,676,0.05
272,medium,2926.477701789168,31.071428571428573,110,295,1251,0.05
273,low,568.211965034059,216.5,110,462,721,0.05
274,medium,3532.7533121876822,17.391304347826086,101,187,1311,0.05
275,medium,2979.0413004784946,16.29032258064516,128,199,1273,0.05
276,low,48.656252182939085,130.0,164,457,726,0.05
277,low,636.626871003017,171.0,131,417,686,0.05
278,low,487.0522327216099,485.0,125,395,722,0.05
279,low,677.3521644394807,112.0,88,469,736,0.05
280,medium,2673.1414435261845,20.5,116,306,1236,0.05
281,high,4629.385872684451,0.6595744680851063,18,43,1638,0.05
282,low,39.65500200675463,674.0,174,466,717,0.05
283,high,4091.206667411967,1.1263157894736842,32,42,1622,0.05
284,high,4758.635749039439,0.7021276595744681,18,52,1641,0.05
285,high,4645.807579959429,0.8901098901098901,23,54,1635,0.05
286,low,524.5716588837743,86.0,67,533,673,0.05
287,medium,2644.035442862764,18.20689655172414,133,214,1248,0.05
288,medium,3239.1525755245784,18.689655172413794,138,118,1266,0.05
289,medium,2515.861039236191,26.363636363636363,148,183,1247,0.05
290,medium,2814.750684830423,14.150943396226415,190,170,1214,0.05
291,medium,2763.7682329968275,14.277777777777779,130,191,1260,0.05
292,low,494.96245058382084,600.0,153,455,736,0.05
293,medium,2791.737272494624,20.952380952380953,112,263,1245,0.05
294,low,1661.148291506187,0,1,522,705,0.05
295,medium,2827.3563268682506,15.263157894736842,149,126,1225,0.05
296,medium,2286.877132547874,18.864864864864863,182,103,1254,0.05
297,high,4669.91050190594,0.7894736842105263,20,43,1649,0.05
298,low,460.58073244643657,0,151,444,719,0.05
299,medium,3034.5272081441203,19.59259259259259,134,184,1239,0.05
300,medium,3052.224188370894,22.727272727272727,127,181,1248,0.05
301,low,1553.9051999475957,0.0,0,637,690,0.05
302,medium,3222.9255871697096,25.047619047619047,136,110,1254,0.05
303,medium,2475.34048248076,17.96969696969697,152,150,1225,0.05
304,low,101.46607602419843,118.33333333333333,93,579,726,0.05
305,medium,2680.396757592193,21.692307692307693,143,181,1235,0.05
306,low,1013.3787788824843,62.25,64,598,727,0.05
307,low,518.9730160555009,127.0,99,506,708,0.05
308,high,4482.03129403604,0.8279569892473119,21,52,1632,0.05
309,medium,2883.098383172242,27.94736842105263,134,164,1210,0.05
310,medium,2778.0616430837213,18.714285714285715,133,194,1242,0.05
311,high,4878.608716041376,0.574468085106383,17,48,1646,0.05
312,low,1038.622587324944,62.2,81,558,722,0.05
313,high,4586.022243134048,0.9368421052631579,24,48,1635,0.05
314,high,4583.136430257477,0.6382978723404256,17,60,1644,0.05
315,high,4433.724976903013,1.011111111111111,25,62,1623,0.05
316,low,1472.9187873240705,2.0,1,575,673,0.05
317,medium,2929.488546072078,37.25,113,134,1241,0.05
318,low,801.9218603524529,0,56,559,678,0.05
319,low,1438.7748761224539,70.33333333333333,54,497,739,0.05
320,high,4300.202286684898,0.8210526315789474,23,40,1635,0.05
321,medium,3176.498675967585,43.0,98,186,1239,0.05
322,high,4356.1365024621045,0.6777777777777778,17,46,1641,0.05
323,low,1442.0090812954543,1.0,2,577,687,0.05
324,high,2980.9965001567875,0.78125,35,41,1633,0.05
325,low,347.2396031291973,161.33333333333334,123,498,752,0.05
326,medium,2656.4131788323566,19.96153846153846,134,221,1255,0.05
327,high,4316.523188127282,0.9690721649484536,27,62,1628,0.05
328,low,1077.5482012065158,225.0,59,626,711,0.05
329,high,4327.901269158765,0.7346938775510204,22,33,1618,0.05
330,low,1723.7659047591214,0,4,624,731,0.05
331,high,4663.459532611318,0.7083333333333334,19,32,1627,0.05
332,medium,2548.2547089889067,263.5,135,107,1231,0.05
333,high,4551.963125085395,0.7659574468085106,20,46,1635,0.05
334,low,-568.8453766936984,227.0,118,493,743,0.05
335,low,1130.0576307348572,340.0,87,579,715,0.05
336,high,4816.560194621091,0.8333333333333334,23,41,1638,0.05
337,low,50.69400454359306,276.5,140,517,681,0.05
338,low,413.43867061972463,444.0,115,490,703,0.05
339,high,4808.4256701280965,0.7395833333333334,19,28,1619,0.05
340,medium,2564.7805281592955,23.863636363636363,135,154,1237,0.05
341,low,-750.4871933236534,233.0,179,437,717,0.05
342,low,557.9731597411524,167.5,86,492,716,0.05
343,medium,2785.870215810671,24.928571428571427,91,193,1287,0.05
344,medium,2348.9470466070075,23.90909090909091,135,257,1251,0.05
345,high,4453.260777785699,0.898989898989899,26,64,1638,0.05
346,low,410.48260826802317,365.0,96,498,734,0.05
347,low,126.083734007328,136.25,139,408,745,0.05
348,low,-1275.825063437495,357.0,92,579,687,0.05
349,medium,3065.7996044467845,24.952380952380953,134,142,1260,0.05
350,medium,3339.027544134667,16.16,102,185,1311,0.05
351,high,4598.815976710336,0.6979166666666666,19,34,1630,0.05
352,medium,2209.7964919689202,21.56,142,114,1247,0.05
353,low,936.6203313609291,157.0,81,509,707,0.05
354,high,4698.296271711292,0.7216494845360825,19,40,1637,0.05
355,medium,2746.465581145288,26.954545454545453,150,240,1228,0.05
356,medium,2848.062744956518,13.117647058823529,57,265,1286,0.05
357,low,897.6527893698244,298.0,76,615,672,0.05
358,low,944.373041792345,0,72,511,717,0.05
359,low,985.5199446338693,50.8,65,557,697,0.05
360,low,356.54732894322217,314.0,80,581,684,0.05
361,high,3881.606127016711,0.5212765957446809,15,61,1635,0.05
362,high,4658.705276077931,0.5368421052631579,14,47,1655,0.05
363,low,969.6104422282982,155.5,79,460,748,0.05
364,high,4768.3411753415485,0.6804123711340206,19,37,1632,0.05
365,high,4705.28782870875,0.6804123711340206,18,43,1650,0.05
366,high,4001.136921726302,0.7473684210526316,24,33,1644,0.05
367,low,1344.0153263902698,274.0,70,494,740,0.05
368,low,853.6397503237873,127.5,66,542,699,0.05
369,low,1364.6675912416633,77.33333333333333,59,430,703,0.05
370,low,960.4272984053661,0,56,551,685,0.05
371,medium,2832.6807157434328,27.142857142857142,144,192,1228,0.05
372,low,1264.005470288288,0,84,419,758,0.05
373,medium,3596.881762364461,23.842105263157894,116,150,1251,0.05
374,medium,2806.2651899182133,28.47826086956522,165,189,1232,0.05
375,low,1109.8555737844147,47.75,98,436,741,0.05
376,low,887.8570131745039,240.0,61,581,704,0.05
377,medium,3332.7938310540235,17.5,89,250,1270,0.05
378,low,600.5655102022599,0,131,389,788,0.05
379,high,4749.225835737502,0.7604166666666666,19,34,1624,0.05
380,low,731.8341933460576,70.28571428571429,128,415,738,0.05
381,low,31.503430715409618,514.0,132,492,735,0.05
382,medium,3384.7202731411926,36.5,113,148,1250,0.05
383,medium,3288.8475356016897,27.736842105263158,134,147,1256,0.05
384,medium,2697.518170721091,17.794871794871796,178,112,1229,0.05
385,medium,3003.819880788779,27.842105263157894,133,153,1234,0.05
386,medium,3248.0869390713524,25.6875,106,270,1245,0.05
387,low,798.6878380473561,207.5,106,471,704,0.05
388,medium,2867.5638569801067,28.11764705882353,123,253,1272,0.05
389,high,4631.48766072676,0.7659574468085106,19,60,1654,0.05
390,high,4796.007520323922,0.7666666666666667,18,44,1643,0.05
391,low,1043.171006965479,0,87,480,696,0.05
392,high,4592.310135576698,0.7040816326530612,18,39,1631,0.05
393,low,-292.24837198450007,258.0,130,495,728,0.05
394,low,727.6565650651705,101.66666666666667,154,445,748,0.05
395,medium,3336.258224121032,21.105263157894736,102,193,1280,0.05
396,medium,2650.6350365116095,27.73913043478261,161,174,1219,0.05
397,low,636.4469678649058,438.0,115,438,724,0.05
